Quantity,Product_Price_trans,Total_Cost,Product_Price_prod,Company_Profit,Product_Price,Month,Year,Is_Weekend,Is_High_Profit_Client,City_Cebu City,City_Davao City,City_Makati,City_Mandaluyong,City_Manila,City_Parañaque,City_Pasig,City_Quezon City,City_Taguig,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Price_Segment_Standard
-0.774812079516712,194379.14796406127,-0.3802175602982612,179200,-0.03235711324586549,1.1459521811105229,3,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.947853013706074,97930.9933803618,0.006488485074610664,95200,-0.5855651140662327,-1.031255461477671,7,2024,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
-0.774812079516712,126095.54777833456,-0.5275341490117362,134400,-0.6186437750668505,-0.015225228269847183,4,2024,1,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0.2587869764169596,,-0.4538758546549987,84000,1.4504521588487322,-1.3215498138227635,9,2023,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
-0.43027906087215484,99575.60963363378,-0.7853381792603175,100800,-1.8036660571499132,-0.8861082853051248,7,2021,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
-1.1193450981612691,160658.67535045007,-0.8712728560098445,156800,1.3618076706475546,0.5653634764203379,7,2021,0,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
-0.6025455701944334,229217.9414680993,0.4054709128402721,224000,-0.05798615943332142,2.307129590490893,10,2023,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.6033199950615168,144758.78325409137,0.5896166487321158,140000,0.9745462618721026,0.1299219479026991,2,2024,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.774812079516712,238293.8513034097,-0.3311120307271029,224000,1.339557627465538,2.307129590490893,3,2021,0,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
-0.774812079516712,98263.85040103912,-0.975622106348556,106400,-1.572984881211316,-0.7409611091325785,1,2024,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-1.1193450981612691,141186.03640865185,-0.944931150366582,140000,1.204990314792774,0.1299219479026991,3,2023,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1.1201195230283525,79380.52059221058,0.006488485074610664,84000,0.8936477922564938,-1.3215498138227635,3,2023,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
-1.636144626128105,,-1.2272879454007424,151200,1.4451564114483944,0.4202163002477916,7,2023,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.947853013706074,85093.63619248601,0.006488485074610664,84000,-1.252987368520752,-1.3215498138227635,9,2022,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
